timestamp,tilt X,tilt Y,alpha,beta,xC_det7,yC_det7,Centroid_det7,xC_det8,yC_det8,Centroid_det8,xC_det17,yC_det17,Centroid_det17
2024-099-00:08:25.500000000,0.0173265793397934,89.9153837353067,0.086372,168.427707,0.000589609585040883,-0.119567277214178,0.119568730945323,0.000789956179244618,-0.121534895738824,0.121537463002204,-6.30371390613682e-05,0.00691697865228774,0.00691726588740851
2024-099-00:08:25.600000000,0.00488533553222721,89.9178661619423,0.082279,176.596046,0.000562464529252637,-0.131327115272354,0.131328319764264,0.000771246582757998,-0.126747632384131,0.126749978841317,-1.68390112844936e-05,0.00558020716113884,0.00558023256805003
2024-099-00:08:25.700000000,0.00354088992722646,89.9258394840193,0.074245,177.266414,0.000575943312309656,-0.14204241418056,0.142043581822414,0.000716730835777165,-0.131950139192672,0.131952085758643,2.9371400094077e-05,0.00390784293812212,0.00390795331448245
2024-099-00:08:25.800000000,0.0054634539402321,89.9441948043236,0.056072,174.408433,0.000529855850109058,-0.147144490487017,0.14714544446875,0.00067587455288952,-0.136488279218218,0.136489952635208,6.93330871686719e-05,0.00241025444652142,0.00241125145390368
2024-099-00:08:25.900000000,0.00404867776336025,89.9652973768373,0.034938,173.345512,0.000563572470482415,-0.148362585793874,0.148363656187673,0.000708725821313007,-0.13867701462242,0.138678825625532,7.67501058246804e-05,0.00170961962379503,0.00171134153131663
2024-099-00:08:26.000000000,0.00207449715284523,89.9816639788746,0.018453,173.545129,0.00049233218863051,-0.148222277101036,0.148223094759218,0.000635959263455297,-0.138418953346133,0.138420414280639,9.84171953937201e-05,0.00126250340859807,0.00126633360575754
2024-099-00:08:26.100000000,0.000556162049533904,89.994417636363,0.00561,174.310487,0.000537245711519198,-0.146211260545789,0.146212247583242,0.000676881280800343,-0.136352100088375,0.136353780170477,8.64181479343027e-05,0.00134127692452043,0.00134405799151055
2024-099-00:08:26.200000000,0.00361346479253497,90.0047848603139,0.005996,37.059632,0.000548703309847434,-0.142755118020835,0.142756172533676,0.000685155010435285,-0.132907749354268,0.132909515369688,8.11042717191123e-05,0.0010591897805384,0.00106229040007339
2024-099-00:08:26.300000000,0.000584053857353753,90.0194812469084,0.01949,1.717231,0.000568756560577707,-0.137240239156619,0.137241417683552,0.000701884134145985,-0.127494408439202,0.127496340436107,6.18113517654549e-05,0.00144191825212147,0.00144324249140888
2024-099-00:08:26.400000000,0.0156201012532753,90.0454465798934,0.048056,18.967974,0.000499543543099115,-0.128236661634482,0.128237634612106,0.000631180675839316,-0.118745127310584,0.118746804795129,4.96187716547148e-05,0.00217305875240842,0.00217362516637975
2024-099-00:08:26.500000000,0.0358392962367502,90.0732760096248,0.081571,26.063266,0.000538166044043481,-0.120217689688961,0.12021889425894,0.000653094501518563,-0.110725980410758,0.110727906466037,8.85299743454226e-06,0.00325761576335047,0.00325762779291819
2024-099-00:08:26.600000000,0.051509702940582,90.093904311374,0.107104,28.746281,0.000556703853316649,-0.113003375360525,0.113004746635051,0.00065098360214155,-0.106676224034825,0.106678210305472,-2.90824042883785e-05,0.00401586208434531,0.00401596738865264
2024-099-00:08:26.700000000,0.0639114548037466,90.1093402949712,0.126649,30.307113,0.000546729940363744,-0.106923037830851,0.106924435619765,0.000629274248235165,-0.104614150226878,0.104616042812617,-0.000101432987320732,0.00649422607507782,0.0064950181651122
2024-099-00:08:26.800000000,0.0745088531863646,90.1212729235084,0.142333,31.566177,0.000559593216845576,-0.10168758171511,0.101689121441949,0.000625468406850709,-0.104072365313822,0.104074244809854,-0.0001621763041581,0.00838747155134505,0.00838903928815767
2024-099-00:08:26.900000000,0.071660707783145,90.1264259689435,0.145323,29.545444,0.000538601879191781,-0.0969065404127381,0.096908037162817,0.000604636314373664,-0.10432279330263,0.104324545470066,-0.000217586137350389,0.0100038710616925,0.0100062370522657
2024-099-00:08:27.000000000,0.0440784708603775,90.1208376562304,0.128626,20.040687,0.000493062901923358,-0.0919643913713533,0.0919657131290172,0.000536087734826776,-0.10397354056835,0.103974922593757,-0.000268010475582887,0.0120295959552636,0.012032581122183
